country,code,date,buying_value,average_value,selling_value
AED,AED,2023-01-04,288.893047,291.781686,294.670325
AOA,AOA,2023-01-04,2.079734,2.100529,2.121324
AUD,AUD,2023-01-04,720.320006,727.522479,734.724951
BIF,BIF,2023-01-04,0.514097,0.519238,0.524378
CAD,CAD,2023-01-04,777.496766,785.270948,793.045131
CHF,CHF,2023-01-04,1136.425906,1147.789017,1159.152129
CNY,CNY,2023-01-04,154.027623,155.567744,157.107865
DKK,DKK,2023-01-04,150.772203,152.279773,153.787343
EGP,EGP,2023-01-04,42.82925,43.2575,43.685749
ETB,ETB,2023-01-04,19.7962,19.994142,20.192084
EUR,EUR,2023-01-04,1121.14623,1132.35656,1143.56689
GBP,GBP,2023-01-04,1271.767759,1284.484152,1297.200545
GHS,GHS,2023-01-04,103.954852,104.994295,106.033739
GNF,GNF,2023-01-04,0.123086,0.124317,0.125548
HKD,HKD,2023-01-04,135.742414,137.099701,138.456988
ILS,ILS,2023-01-04,300.609057,303.614844,306.620631
INR,INR,2023-01-04,12.804156,12.932185,13.060214
JPY,JPY,2023-01-04,8.102473,8.183489,8.264506
KES,KES,2023-01-04,8.592165,8.678078,8.763991
KMF,KMF,2023-01-04,2.277627,2.300401,2.323175
KRW,KRW,2023-01-04,0.832955,0.841283,0.849612
KWD,KWD,2023-01-04,3463.761436,3498.395552,3533.029668
LSL,LSL,2023-01-04,62.587251,63.21306,63.838869
LYD,LYD,2023-01-04,220.838007,223.046164,225.254321
MAD,MAD,2023-01-04,101.079301,102.089992,103.100683
MRO,MRO,2023-01-04,2.968395,2.998076,3.027757
MUR,MUR,2023-01-04,24.061245,24.301834,24.542422
MWK,MWK,2023-01-04,1.036153,1.046514,1.056874
MZN,MZN,2023-01-04,16.620362,16.786548,16.952735
NGN,NGN,2023-01-04,2.365697,2.389352,2.413006
NOK,NOK,2023-01-04,105.59105,106.646854,107.702658
PLN,PLN,2023-01-04,239.879242,242.277792,244.676342
QAR,QAR,2023-01-04,291.50757,294.422351,297.337132
RUB,RUB,2023-01-04,15.155529,15.307069,15.458609
SAR,SAR,2023-01-04,282.21933,285.041239,287.863147
SDG,SDG,2023-01-04,1.87176,1.890476,1.909192
SEK,SEK,2023-01-04,100.398083,101.401962,102.405841
SGD,SGD,2023-01-04,790.559297,798.464092,806.368886
SSP,SSP,2023-01-04,1.595347,1.611299,1.62725
SZL,SZL,2023-01-04,62.587251,63.21306,63.838869
TRY,TRY,2023-01-04,56.647807,57.214228,57.780649
TZS,TZS,2023-01-04,0.454676,0.459223,0.463769
UGX,UGX,2023-01-04,0.284902,0.287751,0.2906
USD,USD,2023-01-04,1061.088615,1071.698429,1082.308243
XAF,XAF,2023-01-04,1.690314,1.707216,1.724117
XDR,XDR,2023-01-04,1410.995318,1425.103846,1439.212374
XOF,XOF,2023-01-04,1.724269,1.74151,1.758751
ZAR,ZAR,2023-01-04,62.575048,63.200736,63.826423
ZMW,ZMW,2023-01-04,58.429906,59.014146,59.598386
ZWD,ZWD,2023-01-04,2.796499,2.824461,2.852423
